Classici greci,,,,,,,Saggi,,,,,,,
Anno,Autore,Titolo,Genere,Status,Voto (1-10),,Anno,Autore,Titolo,Genere,Status,Voto (1-10),,
VIII a.C.,Omero,Iliade,Epica,Letto,10,,1983,Luciano De Crescenzo,Storia della filosofia greca. I presocratici. ,Saggio divulgativo,Non letto,,,
VIII a.C.,Omero,Odissea,Epica,Letto,10,,1986,Luciano De Crescenzo,Storia della filosofia greca. Da Socrate in poi,Saggio divulgativo,Non letto,,,
VIII a.C.,Moltitudo,Inni omerici,Epica,Letto,,,,,,,,,,
VIII a.C.,Esiodo,Teogonia,Mitologia,Letto,,,,,,,,,,
VIII a.C.,Esiodo,Opere e Giorni,Poema,Letto,lo scudo di eracle,,,,,,,,,
VIII a.C.,Archiloco,Frammenti,Lirica,Letto,,,,,,,,,,
VII–VI a.C.,Moltitudo,Lirici greci,Lirica,Letto,,,,,,,,,,
VI-V a.C.,Moltitudo,I presocratici. Testimonianze e frammenti da Talete a Empedocle,Filosofia,da comprare,,,,,,,,,,
ca. 510 a.C.,Eraclito,Frammenti,Filosofia,Letto,,,,,,,,,,
V a.C.,Parmenide,Poema sulla natura,Poema,Letto,,,archiloco frammenti,,,,,,,
472 a.C.,Eschilo,Persiani,Tragedia,Letto,,,eraclito frammenti,,,,,,,
467 a.C.,Eschilo,I Sette contro Tebe,Tragedia,Letto,,,il nome della rosa,,,,,,,
463 a.C.,Eschilo,Supplici,Tragedia,Letto,10,,la svizzera è un paese neutrale,,,,,,,
460 a.C.,Eschilo,Prometeo incatenato,Tragedia,Letto,,,,,,,,,,
458 a.C.,Eschilo,Orestea,Tragedia,Letto,,,,,,,,,,
444 a.C.,Sofocle,Aiace,Tragedia,Letto,,,,,,,,,,
442 a.C.,Sofocle,Antigone,Tragedia,Letto,,,,,,,,,,
438–429 a.C..,Sofocle,Trachinie,Tragedia,Letto,,,,,,,,,,
429–425 a.C.,Sofocle,Edipo Re,Tragedia,Letto,,,,,,,,,,
418–413 A.C.,Sofocle,Elettra,Tragedia,Letto,,,,,,,,,,
409 a.C.,Sofocle,Filottete,Tragedia,Letto,,,,,,,,,,
406 a.C.,Sofocle,Edipo a Colono,Tragedia,Letto,,,,,,,,,,
438 a.C.,Euripide,Alcesti,Tragedia,Letto,,,,,,,,,,
431 a.C.,Euripide,Medea,Tragedia,Non-letto,,,,,,,,,,
429–425 a.C.,Euripide,Andromaca,Tragedia,da comprare,,,,,,,,,,
428 a.C.,Euripide,Ippolito,Tragedia,Letto,,,,,,,,,,
427 a.C.,Euripide,Il Ciclope,Tragedia,Letto,,,,,,,,,,
424 a.C.,Euripide,Ecuba,Tragedia,Letto,,,,,,,,,,
415 a.C.,Euripide,Troiane,Tragedia,Letto,,,,,,,,,,
413 a.C.,Euripide,Ifigenia in Tauride,Tragedia,Letto,,,,,,,,,,
412 a.C.,Euripide,Elena,Tragedia,Letto,,,,,,,,,,
412 a.C.,Euripide,Ione,Tragedia,Letto,,,,,,,,,,
411–409 a.C.,Euripide,Le Fenicie,Tragedia,da comprare,,,,,,,,,,
408 a.C.,Euripide,Oreste ,Tragedia,da comprare,,,,,,,,,,
405 a.C.,Euripide,Ifigenia in Aulide,Tragedia,Letto,,,,,,,,,,
405 a.C.,Euripide,Baccanti,Tragedia,Non-letto,,,,,,,,,,
440–429 a.C.,Erodoto,Storie I-II,Storia,Letto,,,,,,,,,,
440–429 a.C.,Erodoto,Storie III-IV,Storia,Letto,,,,,,,,,,
440–429 a.C.,Erodoto,Storie V-VII,Storia,Non-letto,,,,,,,,,,
440–429 a.C.,Erodoto,Storie VIII-IX,Storia,Non-letto,,,,,,,,,,
431–411 a.C.,Tucidide,La guerra del Peloponneso,Storia,Letto,,,,,,,,,,
V-III secolo a.C.,Moltitudo,I comici greci,Commedia,Non-letto,,,,,,,,,,
425 a.C.,Aristofane,Gli Acarnesi,Commedia,da comprare,,,,,,,,,,
424 a.C.,Aristofane,I cavalieri,Commedia,Letto,,,,,,,,,,
423 a.C.,Aristofane,Le nuvole,Commedia,Letto,,,,,,,,,,
422 a.C.,Aristofane,Le vespe,Commedia,Letto,,,,,,,,,,
421 a.C.,Aristofane,La pace,Commedia,Letto,,,,,,,,,,
414 a.C.,Aristofane,Gli uccelli,Commedia,Non-letto,,,,,,,,,,
411 a.C.,Aristofane,Le donne alle Tesmoforie,Commedia,Non-letto,,,,,,,,,,
411 a.C.,Aristofane,Lisistrata,Commedia,da comprare,,,,,,,,,,
405 a.C.,Aristofane,Le rane,Commedia,da comprare,,,,,,,,,,
391 a.C.,Aristofane,Le donne al parlamento,Commedia,Non-letto,,,,,,,,,,
